"BehaviorSpace results (NetLogo 6.0.1)"
"lakeland-v2017-v00_20180104.nlogo"
"experiment 2"
"01/06/2018 15:56:03:045 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","level_of_variability_gamma","variability_gamma","gamma","flocking","removalrate","max-separate-turn","beta","Stochasticity","variability_thresholds","Neighborhood_radius","Pollution_active","num_agents","inequalityaversion","max-cohere-turn","variability_skills","minimum-separation","level_of_variability_thresholds","level_of_variability_skills","Speed","max-align-turn","Umax","LNSmin","[step]","Fish_pop","Gold_Resource","mean [Finance] of turtles","mean [LNS] of turtles","Pollution","Gini","CumNumOpt / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumRep / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumIm / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)"
"1","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","45.42987680991906","34.79859732886237","9.676889391007334","0.07793975297660258","0.013682651748898607","0.16747950847014445","0.5891983967935872","0.0332064128256513","0.3316432865731463","0.045951903807615234"
"3","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","44.97281575562902","34.6576325188258","9.646572811483736","0.07591616533496186","0.012861903115292585","0.1928043331354157","0.6062725450901804","0.032344689378757514","0.31721442885771545","0.04416833667334669"
"4","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","41.91959200010794","26.979776363683243","9.355156644902456","0.07278558534475237","0.012867638229086912","0.20341558343256658","0.7285370741482966","0.03416833667334669","0.2105811623246493","0.026713426853707416"
"2","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","43.51267521914703","29.79875621016134","9.493457526320185","0.07580028032049585","0.011191478585515387","0.20982238232208142","0.5873547094188377","0.0369939879759519","0.33875751503006013","0.0368937875751503"
"5","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","41.104518563515","32.69583034416073","9.710352718904872","0.07407541402699265","0.026140500370548502","0.20714711632829022","0.5723847695390781","0.031182364729458917","0.3467735470941884","0.04965931863727455"
"6","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","42.82837904072915","29.699143100880427","9.496738119258287","0.07419399536140993","0.015214207449187021","0.2041054341412883","0.6502805611222445","0.04226452905811623","0.2728256513026052","0.03462925851703407"
"7","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","46.2449472266302","29.761053577312502","9.511872377465922","0.07587824182220572","0.011879198166341736","0.18313511388421752","0.6676753507014028","0.03442885771543086","0.25743486973947893","0.040460921843687374"
"8","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","45.112431459066315","31.169580566907964","9.52267247209399","0.07700557013222471","0.012976912724862153","0.1874313217882083","0.6144889779559118","0.033847695390781564","0.3188577154308617","0.03280561122244489"
"9","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","41.273830398680076","30.545023057632402","9.487019857358536","0.07256565365050444","0.0141839329539853","0.19063256726011862","0.7177354709418837","0.03232464929859719","0.22414829659318639","0.025791583166332666"
"11","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","43.13705403560251","31.8537089209493","9.634011339693087","0.07728116822610007","0.018177084940944156","0.20146990615011645","0.5084168336673347","0.04152304609218437","0.4044488977955912","0.04561122244488978"
"10","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","45.75389251039623","29.2661691644955","9.452727326358024","0.0746303282048007","0.010517257738555103","0.21020405276894658","0.7087374749498998","0.04777555110220441","0.21517034068136273","0.028316633266533067"
"12","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","43.496173151710664","29.236954490454057","9.482555324007457","0.07552158690491717","0.012480292488965088","0.21380476970180115","0.628557114228457","0.039599198396793586","0.2966733466933868","0.035170340681362725"
"13","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","39.59408606467112","32.194127490558614","9.517260148122201","0.07212249493534231","0.02512760209182067","0.22683900597665177","0.634809619238477","0.029939879759519037","0.2932064128256513","0.042044088176352704"
"14","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","45.40031026158362","30.019233570506874","9.518848300624555","0.07451524078985455","0.012675504354818868","0.20770905935640316","0.671002004008016","0.04501002004008016","0.2522044088176353","0.03178356713426854"
"15","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","44.26432966195149","36.97620812674825","9.753939316917752","0.07646383159888581","0.029238085741272773","0.18074040625234025","0.5963527054108216","0.03210420841683367","0.324248496993988","0.047294589178356716"
"16","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","45.087950565151225","36.070940286106755","9.749159656225862","0.0771925062322909","0.029214146251143214","0.17056660849355032","0.5560120240480962","0.02847695390781563","0.3587174348697395","0.056793587174348695"
"17","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","38.71503438613122","32.45595670347832","9.581596038525161","0.07117490678731261","0.02738228594507886","0.20384711326960242","0.6570941883767535","0.032344689378757514","0.26973947895791583","0.040821643286573145"
"18","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","43.45173464666397","33.94354847130077","9.556459877133289","0.0750970677936495","0.010154936830606281","0.21746311509452534","0.6409819639278557","0.040821643286573145","0.2842685370741483","0.033927855711422844"
"19","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","43.74846595070262","31.321621324873224","9.53283892000425","0.07454838377591712","0.011794560688674424","0.2084400238633778","0.6642885771543087","0.041182364729458916","0.2628056112224449","0.031723446893787574"
"20","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","39.03711161875926","30.420658593681953","9.536047233980247","0.07282479055405085","0.018357740678174205","0.2082313663262027","0.5824849699398797","0.03549098196392786","0.3406012024048096","0.04142284569138276"
"22","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","44.13529853364814","32.162329536718566","9.70901381060669","0.07704453485324517","0.028257211697398223","0.184673361326934","0.5752304609218437","0.03629258517034068","0.3380360721442886","0.050440881763527054"
"21","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","45.11970156041273","33.57418330567929","9.612088347648728","0.07655296704915321","0.012939347206797298","0.19306958005743485","0.627875751503006","0.035791583166332665","0.2947294589178357","0.04160320641282565"
"23","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","41.25721501294052","30.970010285672426","9.52951896376772","0.07376895376319789","0.01557019922334176","0.18832041926930362","0.631062124248497","0.030841683366733468","0.3001002004008016","0.037995991983967935"
"25","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","40.86259727157909","32.9382006418185","9.610173517204773","0.07398861637603395","0.01611957144839335","0.1899157577903299","0.5666332665330661","0.03440881763527054","0.354749498997996","0.04420841683366734"
"26","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","44.469962732321335","32.19918708322397","9.55131954193165","0.07628947409893053","0.010346687208557163","0.20914412407103197","0.601182364729459","0.040761523046092187","0.32206412825651304","0.03599198396793587"
"24","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","45.08489185379272","31.13366393406425","9.60889706550692","0.07828189637920312","0.017073063892139164","0.1787149342489023","0.5308016032064128","0.03617234468937876","0.3829058116232465","0.050120240480961926"
"27","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","43.96492284101955","31.824340783461327","9.6143233241923","0.07500018100298532","0.025633273113982627","0.190924362799442","0.6230260521042085","0.033667334669338675","0.30498997995991983","0.03831663326653307"
"28","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","42.47053566701876","30.526346431780006","9.600681145129","0.07693411900850475","0.017965190046338116","0.18085500223075648","0.5645691382765531","0.03426853707414829","0.35414829659318636","0.047014028056112225"
"31","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","42.99246744648447","36.67091593661758","9.800299272730912","0.07710430425042017","0.0253518713268404","0.17123097897335593","0.48519038076152304","0.030240480961923846","0.4265931863727455","0.05797595190380762"
"29","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","40.38287462246335","33.753856840501996","9.610520292059633","0.07250835308901037","0.01765416680110121","0.18981277872486266","0.6490981963927855","0.03218436873747495","0.28072144288577155","0.037995991983967935"
"30","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","42.01774500475985","32.99101271727441","9.55915117758665","0.07408828296183631","0.01663715645837309","0.18554726468145383","0.6508216432865731","0.02909819639278557","0.282064128256513","0.038016032064128256"
"32","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","43.083151713394585","30.554861377013594","9.60070821737035","0.07486964690953686","0.027115420099594202","0.19196808224440343","0.5730861723446894","0.03681362725450902","0.3518036072144289","0.03829659318637275"
"33","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","41.64974961326536","29.027730921296794","9.514617359601063","0.07484312734719192","0.02664085845647714","0.1968616133465998","0.6268537074148297","0.03132264529058116","0.3020440881763527","0.039779559118236475"
"34","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","43.178135060577134","30.782348765050244","9.520490299609955","0.0747817220750611","0.012480589232419674","0.20738487564227936","0.6289178356713427","0.034549098196392784","0.30402805611222444","0.03250501002004008"
"35","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","41.118445024382694","31.824395570027367","9.521690613816139","0.07283664544313878","0.011555571218845307","0.21240492897650975","0.6487174348697394","0.037314629258517036","0.2813827655310621","0.03258517034068136"
"36","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","39.349462920621036","32.910737743494956","9.542428021876994","0.07248359687032319","0.012157806574159576","0.20097106198671283","0.5827855711422846","0.03256513026052104","0.3422444889779559","0.042404809619238475"
"37","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","42.554531572187386","34.66223928050469","9.601855326266243","0.07438422961240326","0.012336371608535452","0.18408245017995398","0.647314629258517","0.036753507014028054","0.2815430861723447","0.03438877755511022"
"38","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","40.55946870585451","33.19509348853396","9.537259684290726","0.07269683298950172","0.013197044148566485","0.19912579612980721","0.665190380761523","0.03256513026052104","0.2638076152304609","0.03843687374749499"
"40","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","42.5854076095501","33.8051520732568","9.532293958648053","0.07466001497234635","0.011026300373747572","0.19560307894410794","0.6462525050100201","0.031082164328657316","0.29150300601202406","0.031162324649298596"
"39","0","false","0.5","false","0.01","1.5","0","true","false","0","true","100","false","5.75","true","1","0","0.5","10","6","0.2","0.1","500","42.938088305847465","30.941511847888382","9.574609960303501","0.07486204218536006","0.016642163043118267","0.19064034783612047","0.5967134268537074","0.03583166332665331","0.3284569138276553","0.03899799599198397"
"41","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","40.002929777762155","24.66651991820471","9.219325653134355","0.06873197859028707","0.011092893572171237","0.2590295640886614","0.7834669338677355","0.0401002004008016","0.16076152304609218","0.01567134268537074"
"42","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","34.3872885629308","20.66840268780505","8.882105658338054","0.06440659147133679","0.015687857542802112","0.23875099626539378","0.7246693386773547","0.03743486973947896","0.2163326653306613","0.02156312625250501"
"43","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","32.63926180144362","20.541859032347496","8.7972586130579","0.06274111709891424","0.0167418623255013","0.21572581940275248","0.7279759519038076","0.035190380761523046","0.2134869739478958","0.023346693386773545"
"44","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","35.120027388360484","27.63042857778196","9.05394547624628","0.06490636210042253","0.014328035846208287","0.22762763836220784","0.7129058116232465","0.03843687374749499","0.22579158316633266","0.02286573146292585"
"45","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","37.803176932733805","26.237428231817074","9.232772918852994","0.06839188850408127","0.014791475108486595","0.21233672049163285","0.7056913827655311","0.03651302605210421","0.23284569138276554","0.024949899799599197"
"46","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","36.871463693867334","20.27746304042338","8.951026563171617","0.06576230519244405","0.012759587879826971","0.254285367353978","0.755130260521042","0.03653306613226453","0.18877755511022043","0.019559118236472946"
"47","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","38.02321985176058","23.766976735511548","9.189523848666187","0.06780636337402497","0.013861663307304607","0.22313020219655752","0.7481963927855712","0.037094188376753504","0.19635270541082164","0.01835671342685371"
"50","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","36.96394328719125","24.269291386516567","9.064494633741958","0.06721970121051608","0.011845027128030546","0.25175541837939147","0.74625250501002","0.03761523046092184","0.19713426853707414","0.018997995991983967"
"49","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","33.95796267066971","23.791091900104355","9.005677795337999","0.06380579547013335","0.017769586765947847","0.20598210418121932","0.7290781563126253","0.036593186372745494","0.21092184368737474","0.023406813627254507"
"48","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","0","6","0.2","0.1","500","34.7173101048909","23.90298661901731","8.864483154157517","0.06352306186859369","0.011284452280826971","0.24545178534000694","0.7385971943887776","0.034909819639278555","0.2066132264529058","0.019879759519038077"
"51","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","38.05478735130252","24.59588359104404","8.99138397397016","0.06834816342858975","0.010681251244399935","0.23706455073531288","0.853186372745491","0.04511022044088176","0.08997995991983967","0.011723446893787575"
"53","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","40.02033353131896","22.757855165656085","9.08242258954138","0.06847687699195185","0.010318373379811415","0.22744734449108484","0.8454709418837676","0.04438877755511022","0.1","0.010140280561122244"
"52","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","33.01801576294206","25.771150414100635","8.89644767432871","0.06270742627370053","0.01918189669859714","0.21729753160819415","0.8403607214428858","0.044549098196392786","0.09468937875751503","0.02040080160320641"
"54","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","38.1503097610496","23.249988890704795","9.181452790464323","0.06738466269047008","0.014766220144647003","0.23779963422970304","0.8251503006012024","0.03995991983967936","0.12114228456913828","0.01374749498997996"
"55","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","32.47429891310992","21.129204240161457","8.694730372579087","0.062067657617428294","0.01952141663374083","0.21251180281958298","0.8274549098196393","0.041803607214428856","0.1125250501002004","0.018216432865731463"
"56","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","37.153775077047385","24.104746364107978","8.995132269700761","0.06665537814007848","0.0113681437976694","0.235794788837903","0.8183967935871743","0.04216432865731463","0.1259318637274549","0.013507014028056112"
"57","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","32.266831539358456","20.414599104373675","8.63041314256882","0.060942165329900336","0.017257073523218414","0.2400698005219163","0.7955911823647295","0.041783567134268534","0.14585170340681364","0.016773547094188376"
"59","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","39.335011973924615","24.88223518417839","9.18673911438431","0.06882736133734901","0.011685870046390117","0.22899672313529926","0.8575751503006012","0.04300601202404809","0.08733466933867735","0.012084168336673346"
"58","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","33.65389824231442","20.489560660473085","8.602861720867827","0.0632079385510703","0.013486569900112558","0.2360852091656005","0.824689378757515","0.04226452905811623","0.11915831663326654","0.013887775551102204"
"61","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","33.27689009131006","18.961279712975895","8.475438158467787","0.06264618594672554","0.014548063428711754","0.24549714055988386","0.8175751503006012","0.04200400801603207","0.12464929859719438","0.015771543086172346"
"60","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","3","6","0.2","0.1","500","31.04459777821583","20.95598596314505","8.432041534090857","0.06002270280344648","0.016215065317887266","0.22053093684305836","0.8244689378757515","0.04106212424849699","0.11607214428857715","0.01839679358717435"
"62","0","false","0.5","false","0.01","1.5","0","true","false","10","true","100","false","5.75","true","1","0","0.5","7","6","0.2","0.1","500","36.563164049941605","21.131834179322738","8.850148223625808","0.0661120659424719","0.011705156929641884","0.23541304479567984","0.8091182364729459","0.042044088176352704","0.1372945891783567","0.01154308617234469"
