"BehaviorSpace results (NetLogo 6.0.2)"
"lakeland-v2017-v00_20180104.nlogo"
"experiment_3"
"01/06/2018 15:33:53:767 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","variability_skills","variability_thresholds","removalrate","num_agents","LNSmin","Umax","level_of_variability_skills","level_of_variability_thresholds","Stochasticity","inequalityaversion","beta","flocking","speed","[step]","Fish_pop","Gold_Resource","mean [Finance] of turtles","mean [LNS] of turtles","Pollution","Gini","CumNumOpt / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumRep / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumIm / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","agt1","agt2","agt3","agt4","agt5","agt6","agt7","agt8","agt9","agt1ft","agt2ft","agt3ft","agt4ft","agt5ft","agt6ft","agt7ft","agt8ft","agt9ft","agt1mt","agt2mt","agt3mt","agt4mt","agt5mt","agt6mt","agt7mt","agt8mt","agt9mt","agt1inc","agt2inc","agt3inc","agt4inc","agt5inc","agt6inc","agt7inc","agt8inc","agt9inc","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)"
"1","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","16.041153924139895","12.971470305050195","6.34246167508387","0.009360291515758979","0.012169002497561959","0.22542484065052285","0.3230060120240481","0.002124248496993988","0.6747895791583166","8.016032064128256E-5","3","8","4","15","46","8","3","9","4","2.8","7.1","3.250580997949418","6.699999999999999","41.39999999999996","6.563182600531998","0.9999999999999999","8","3.2999999999999994","0","0","0.14941900205058103","0","0","0.1368173994680019","0","0","0","-0.0037411055381267617","0.04659521862386222","0.03541198558436043","-0.08271827972695332","0.22964720803758382","0.0732666010179271","-0.019565630115395482","0.03400306110146766","0.040211554799548105","0.6747895791583166"
"2","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","15.947142285409452","13.07872207281255","6.276220124663816","0.009275010553268093","0.011813792168003177","0.2070666593142282","0.2996793587174349","0.0021442885771543086","0.6981362725450901","4.008016032064128E-5","1","12","3","11","50","11","4","6","2","0.8999999999999999","10.700000000000003","2.3012345679012336","3.8999999999999995","44.99999999999996","8.693437296946067","1.9999999999999998","5.4","1.6999999999999997","0","0","0.09876543209876543","0","0","0.1065627030539311","0","0","0","-0.0023158842120225218","0.062102951531147865","0.024111634089070126","-0.0707392015138926","0.212332112848169","0.08920114582430344","-0.01987735396296393","0.031064566508834275","0.019721313262497295","0.6981362725450901"
"3","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","13.142464942386717","13.40406412900685","5.766306067833234","0.005884651847432884","0.011952036520682406","0.20406505998092064","0.30733466933867737","0.0019438877755511021","0.6907014028056112","2.004008016032064E-5","1","15","3","10","44","13","2","10","2","0.8999999999999999","13.500000000000004","2.5999999999999996","5.5","38.99999999999997","11.200000000000001","0","8.200000000000001","1.7999999999999998","0","0","0","0","0","0","0","0","0","-0.003245880182906424","0.03326917235093799","0.019532543363885102","-0.057202365308761646","0.07028644334753513","0.07725716236858313","-0.02","0.019426752195141964","0.014141893808490128","0.6907014028056112"
"4","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","12.411564913292047","13.481237714036489","5.462206675367294","0.005076489867114013","0.010601542517386996","0.22416821308289198","0.3033066132264529","0.0023246492985971945","0.6943486973947895","2.004008016032064E-5","3","7","3","8","45","17","0","16","1","2.6999999999999997","6.300000000000001","2.6999999999999997","4.6","38.09999999999997","15.000000000000002","0","10.900000000000002","0.8999999999999999","0","0","0","0","0","0","0","0","0","-0.009067878780881954","0.015154489973014827","0.01672607389112652","-0.04616193844127058","0.020932354612650507","0.09509592855035086","0","-0.01381687797460417","0.0060895978918471","0.6943486973947895"
"5","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","17.932700171978997","12.712777812236787","6.715306833920671","0.01082532154447988","0.013139750219967647","0.18539584044254032","0.27196392785571144","0.001963927855711423","0.7260120240480962","6.0120240480961926E-5","6","8","2","10","43","11","6","10","4","5.4","6.8999999999999995","1.4545454545454537","7.5","38.59999999999997","8.592752548656161","3.8","8.7","3.3","0","0","0.14545454545454548","0","0","0.3072474513438369","0","0","0","-0.0034382830063550366","0.05629917502688557","0.0166708749998326","-0.021623580814294482","0.23525011982907484","0.11568812189107576","-0.019221854053392218","0.0543221890251055","0.044781613837056276","0.7260120240480962"
"6","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","18.998407381317463","14.82587553696552","6.894310895598743","0.011011206953039367","0.011199584211288874","0.16603730427373833","0.2788977955911824","0.0017234468937875752","0.7193587174348698","2.004008016032064E-5","5","13","3","17","41","7","2","10","2","4.5","11.600000000000003","2.4","14.700000000000003","36.59999999999997","5.539999999999999","1.7999999999999998","8.9","1.6999999999999997","0","0","0","0","0","0.16000000000000003","0","0","0","-0.0022862669031872744","0.08286117323108329","0.035580325606200724","-0.008884294047094813","0.26414408269865775","0.07716616614457021","0.0011874994958664467","0.05671339192152443","0.025959975365210834","0.7193587174348698"
"7","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","14.641414698329765","13.724722281474893","5.8958634445959595","0.007654620618064342","0.009870665026022058","0.2144175719633112","0.3120440881763527","0.0021442885771543086","0.6857915831663327","2.004008016032064E-5","0","11","4","11","45","10","3","13","3","0","9.900000000000002","3.4","4.699999999999999","40.499999999999964","8.4","0","11.000000000000002","2.4999999999999996","0","0","0","0","0","0","0","0","0","0","0.03443170667943651","0.03328202852522317","-0.06755364462940365","0.15257577016208276","0.07764009763421513","-0.03","0.02628464530699584","0.021401174732785737","0.6857915831663327"
"8","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","14.116899759583637","13.48656673221988","5.853322140026365","0.0077850358712961455","0.009856017953806993","0.2353367070788937","0.31244488977955914","0.00250501002004008","0.6849699398797595","8.016032064128256E-5","1","5","8","11","43","13","3","11","5","0.8999999999999999","4.5","7","3.6999999999999997","38.199999999999974","10.8","0","9.100000000000001","4.199999999999999","0","0","0","0","0","0","0","0","0","-0.0033240337773077647","0.016659662446053047","0.06120478229211962","-0.07947059371163395","0.11242160740796533","0.08685811533102328","-0.03","0.02642826481195194","0.035612833642449375","0.6849699398797595"
"9","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","14.465528573873438","13.525195235553493","5.985339055938391","0.007130731220508375","0.010949682809997818","0.1943497227407214","0.30521042084168337","0.001743486973947896","0.6930260521042084","2.004008016032064E-5","0","13","3","11","48","6","2","15","2","0","11.700000000000003","2.4999999999999996","4.699999999999999","43.09999999999996","4.999999999999999","0","13.700000000000003","1.6999999999999997","0","0","0","0","0","0","0","0","0","0","0.03536748703347363","0.017578137148517595","-0.0681109043992456","0.15653447807199286","0.04636724036083725","-0.02","0.045455935731608284","0.01703280961462693","0.6930260521042084"
"10","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","0","500","10.429650650406854","13.351799504715498","5.080648173231163","0.002618263066690189","0.010684561551672597","0.21058759959566503","0.3166132264529058","0.0022044088176352704","0.6811623246492986","2.004008016032064E-5","2","11","1","5","48","12","2","17","2","1.7999999999999998","9.900000000000002","0.8999999999999999","0","42.499999999999964","10.800000000000002","0","12.800000000000002","1.7999999999999998","0","0","0","0","0","0","0","0","0","-0.009678483363103604","-0.005655982688201926","0.0020446714420029634","-0.05","-0.0017417564593588467","0.037420790900280075","-0.02","-0.022543712019461905","0.007208977073757637","0.6811623246492986"
