"BehaviorSpace results (NetLogo 6.0.1)"
"lakeland-v2017-v00_20180104.nlogo"
"radius_1"
"01/06/2018 14:32:11:573 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","variability_skills","variability_thresholds","variability_gamma","removalrate","num_agents","LNSmin","Umax","gamma","level_of_variability_skills","level_of_variability_thresholds","level_of_variability_gamma","Stochasticity","inequalityaversion","beta","speed","neighborhood_radius","minimum-separation","max-separate-turn","max-align-turn","max-cohere-turn","[step]","Fish_pop","Gold_Resource","mean [Finance] of turtles","mean [LNS] of turtles","Pollution","Gini","CumNumOpt / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumRep / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumIm / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","agt1","agt2","agt3","agt4","agt5","agt6","agt7","agt8","agt9","agt1ft","agt2ft","agt3ft","agt4ft","agt5ft","agt6ft","agt7ft","agt8ft","agt9ft","agt1mt","agt2mt","agt3mt","agt4mt","agt5mt","agt6mt","agt7mt","agt8mt","agt9mt","agt1inc","agt2inc","agt3inc","agt4inc","agt5inc","agt6inc","agt7inc","agt8inc","agt9inc"
"2","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","42.50804855104515","35.48550773959229","9.65990858993876","0.0765099865936087","0.012971985465854088","0.1786707879200587","0.5764729458917836","0.03176352705410822","0.34877755511022046","0.04298597194388778","3","11","3","10","49","13","1","8","2","2.0999999999999996","6.589999999999999","1.17","7.000000000000001","28.930000000000014","5.699999999999999","0.7","4.6899999999999995","0.78","0","0","0","0","0","0","0","0","0","0.02865344103526933","0.1511563599329587","0.04150270392001347","0.07790103818974342","0.7524772603348401","0.2144913495467234","0.009641308050870061","0.12886754399547756","0.028881593196512623"
"3","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","39.884730464273645","28.487055383428455","9.52367647804705","0.07152743464307046","0.020456282625977797","0.20782526328917963","0.6271142284569138","0.031102204408817634","0.30288577154308616","0.038897795591182366","2","8","1","10","46","15","3","12","3","1.4","5.1","0.39","7.000000000000001","28.270000000000014","7.1099999999999985","2.0999999999999996","7.189999999999999","1.38","0","0","0","0","0","0","0","0","0","0.013937012001060272","0.10200814049633565","0.009621478911119507","0.06467831013395077","0.661520127729319","0.23723009106549872","0.020428453574364618","0.1796965596048276","0.04194989474980011"
"4","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","37.986826596041084","30.020760704663502","9.430962301041633","0.06978252406794637","0.016379414688040366","0.19516180340422176","0.6827855711422846","0.03180360721442886","0.25376753507014027","0.031643286573146294","0","13","3","5","55","7","4","10","3","0","8.29","1.5899999999999999","3.6000000000000005","34.180000000000014","3.7800000000000002","2.8","6.3999999999999995","1.5899999999999999","0","0","0","0","0","0","0","0","0","0","0.16212744035314397","0.05827627847403924","0.03177782145115478","0.7362241376604954","0.127785453503464","0.02639404316718051","0.13013441316701085","0.055850303591550576"
"1","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","40.47371744991662","30.34497908679304","9.595485815067532","0.07468929535529518","0.02139040646580655","0.1949515250203343","0.5475751503006012","0.032084168336673345","0.3765330661322645","0.04380761523046092","1","10","1","7","47","22","3","9","0","0.7","6.199999999999999","0.39","4.9","28.66000000000001","9.629999999999999","2.0999999999999996","5.279999999999999","0","0","0","0","0","0","0","0","0","0","0.0071426108295142305","0.1500557632142038","0.00999200489769273","0.044818088364847956","0.6930238664636398","0.33035954308674476","0.020422843930647964","0.12827020827340618","0"
"6","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","41.1165960353088","30.705564644528636","9.55363592443181","0.07404716140076223","0.01660916116501158","0.20507211741408443","0.6275551102204409","0.03312625250501002","0.30216432865731463","0.03715430861723447","1","9","3","10","53","8","2","9","5","0.7","5.499999999999999","1.17","7.000000000000001","31.850000000000012","3.7500000000000004","1.4","5.499999999999999","2.58","0","0","0","0","0","0","0","0","0","0.007956851807291545","0.1315463883855175","0.04069231427003778","0.06516277963139616","0.7562697441858042","0.14086215467297","0.012909168616748986","0.1470271851170448","0.10156349757467534"
"5","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","40.0954274809516","31.06501026827416","9.599853349479188","0.0717707571542992","0.02711314590395485","0.21942544763965496","0.6453907815631262","0.032905811623246496","0.2829058116232465","0.038797595190380764","5","11","5","9","49","12","3","5","1","3.5","6.379999999999999","2.37","6.300000000000001","30.500000000000018","6.1499999999999995","2.0999999999999996","3","0.39","0","0","0","0","0","0","0","0","0","0.03647633840677817","0.13770485424668302","0.08805810487873972","0.05433445626563728","0.7211533760835898","0.21929090969250573","0.016383595772032987","0.07255141960519548","0.013380618121977576"
"7","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","45.6416070846608","30.347647995790965","9.57540023368285","0.07602418477356143","0.01792405714015014","0.20158458532041726","0.6158917835671343","0.03168336673346693","0.3100200400801603","0.042404809619238475","5","10","2","12","42","12","4","11","2","3.5","5.779999999999999","0.78","8.4","25.07000000000001","4.680000000000001","2.8","6.589999999999999","0.78","0","0","0","0","0","0","0","0","0","0.03871659086376342","0.14971242713684937","0.030578637102545034","0.10188055129329633","0.685246829772237","0.18069942257378876","0.031369090536989906","0.18769615426820127","0.03266826512217961"
"8","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","42.486882813514875","28.074302219015678","9.5026974651996","0.07380024183092426","0.01751493367539115","0.20190974698146938","0.6481563126252505","0.03064128256513026","0.2862324649298597","0.03496993987975952","1","11","2","11","47","8","3","10","7","0.7","6.999999999999999","0.78","7.700000000000001","28.880000000000013","3.3300000000000005","2.0999999999999996","5.999999999999999","3.1500000000000004","0","0","0","0","0","0","0","0","0","0.004846575359997118","0.16257813454012887","0.023800032627096436","0.07500710645924133","0.7200336445388524","0.12209962156149241","0.018756337615891728","0.1576599363115951","0.11301674989648249"
"9","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","43.944545551453665","33.53127582386202","9.671241445916392","0.07652046102906772","0.022658990251390957","0.16470212170164827","0.5655110220440882","0.032985971943887776","0.35875751503006015","0.04274549098196393","2","11","4","10","45","13","1","14","0","1.4","6.2799999999999985","1.56","7.000000000000001","26.960000000000008","5.279999999999999","0.7","7.769999999999998","0","0","0","0","0","0","0","0","0","0","0.017814887426802435","0.16228634371082476","0.058302609486714244","0.09106533612164244","0.6665286503890807","0.19646211383258394","0.006292213965195513","0.20865674034128542","0"
"10","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","0","1","1.5","6","5.75","500","44.099009005947224","28.13833319183448","9.405259209684745","0.07447441648581918","0.010562792712741647","0.19440008235113834","0.6627655310621242","0.032004008016032065","0.2776753507014028","0.02755511022044088","2","13","0","13","40","10","5","16","1","1.4","7.999999999999998","0","9.1","23.760000000000005","3.900000000000001","3.5","9.889999999999997","0.39","0","0","0","0","0","0","0","0","0","0.01587616949187317","0.2162102548759863","0","0.10439793062660764","0.6213848970756074","0.14915761486585646","0.033697363848074084","0.2736875850923595","0.012891702078755387"
